letter,weightQ1,weightQ2,weightQ3,weightQ4,relativeWeightQ1,relativeWeightQ2,relativeWeightQ3,relativeWeightQ4,centerOfMassX,centerOfMassY,relativeCenterOfMassX,relativeCenterOfMassY,inertiaX,inertiaY,relativeInertiaX,relativeInertiaY
A,1070.7843137254938,859.6156862745128,658.4078431372571,1548.901960784319,0.3928042236703939,0.31533957676981395,0.24152892264756315,0.5681958770301977,46.83582089552334,69.53683196918634,0.5589734255551627,0.5192184240089874,7.715773802494185e+06,1.7100535356160225e+06,0.06331695495909741,0.014032990787941983
AA,1287.9294117647103,868.5803921568657,643.4666666666689,1370.6039215686321,0.5042793311529797,0.34008629293534287,0.2519446619681554,0.5366499301365043,39.19035108669668,57.56675423931156,0.4959785855415153,0.4351288787639351,5.440020687907046e+06,2.12913088512439e+06,0.05210372279211454,0.02039250432875307
ALEF,1137.5215686274548,1555.874509803927,1478.1803921568678,1380.5647058823577,0.3612326353215163,0.4940852682768901,0.4694126364423207,0.43841368875273345,49.59203444564083,69.81880157875756,0.5169365366557535,0.5174345983365229,8.558954319047032e+06,4.262253759716332e+06,0.05281580470974004,0.026301619777963442
BA,2132.6039215686346,1763.0588235294179,1737.1607843137315,1774.015686274516,0.571284200795241,0.4722900679157294,0.46535247369775823,0.4752252039310249,54.04653039268387,63.95037654652953,0.4653204420410866,0.48423366574253485,9.905677956832036e+06,7.370808967541149e+06,0.04364614915995521,0.032477073152267374
CAYN,1105.6470588235331,1378.5725490196126,1362.6352941176517,1342.7137254902007,0.4019073278166242,0.5011168844127999,0.49532362563346116,0.4880820521592878,43.55815738963608,67.61880998080618,0.5127488842124829,0.5124523844677398,7.197777250909379e+06,2.365655274866592e+06,0.05944252361777386,0.019536658977603465
DEEL,1353.6705882352987,1509.058823529417,1534.9568627451033,1445.3098039215736,0.3634990838440652,0.40522524799393583,0.4121796086855809,0.38810682167604016,56.388339584041084,66.70405727923612,0.49453874628608113,0.4977580096911828,9.96523304248199e+06,7.938999459045499e+06,0.04411916561855805,0.03514840350306881
DHA,1617.6313725490252,281.89019607843227,1177.364705882357,1469.2156862745148,0.4590327390888267,0.07999154258752335,0.334098951725981,0.41691705058868184,52.42199824715188,69.19675723049947,0.4897333166395417,0.5166421002310566,7.138156334312815e+06,2.4047855716451057e+06,0.03591460074511562,0.012099330644817418
E,1119.5921568627489,0,1237.12941176471,968.188235294121,0.5697670009479638,0,0.6295823978446362,0.49271665918275875,23.681246255242225,77.91881366087378,0.38442790263122417,0.5916831820067214,4.639851865174663e+06,917337.2819135565,0.07510330052597723,0.014848546800457699
EE,1128.5568627451019,1119.5921568627489,1759.0745098039276,2155.5137254902033,0.3023190095754358,0.2999175346538304,0.4712227457283492,0.577421303372677,50.4848876676901,76.95862291902264,0.43791935989106284,0.5842970993770973,9.273559331359468e+06,6.786909221949878e+06,0.041580926396036624,0.030431246809428644
FA,1653.490196078437,837.7019607843166,599.6392156862765,1611.6549019607899,0.5371962950222343,0.2721578819962042,0.19481456000203917,0.5236045815337199,45.92861681847004,65.31582291887236,0.4779640087071281,0.4947370993759412,6.925064076231736e+06,2.908908548009538e+06,0.044713019011133025,0.018781932091460608
GA,2171.450980392164,324.72156862745203,1506.0705882352993,1988.1725490196147,0.6046925592849246,0.09042650198480981,0.41940144478844316,0.5536542882260136,46.16328566677694,72.30395743265687,0.4181785709886754,0.540181495701946,8.810947595750976e+06,4.957830635226334e+06,0.04192435023496916,0.02359040565138813
HA,1359.647058823534,1310.839215686279,1422.4000000000049,1166.4078431372589,0.4717720537208654,0.4548366466642189,0.49354614850798223,0.4047216665986325,42.04678030303123,68.04412878787711,0.4664406852617185,0.5157240675990548,7.619958879882599e+06,3.335380027832773e+06,0.05605702209825052,0.02453707098340219
I,1303.866666666671,1387.5372549019655,738.0941176470614,1232.1490196078473,0.5365706447187947,0.5710029855563644,0.30374243524570427,0.5070572097151635,38.54081196581191,58.387606837606796,0.5214001661918322,0.42826572266870744,6.141505724799718e+06,1.9916311374442803e+06,0.06323559419600151,0.02050669396708159
JA,281.89019607843227,817.7803921568656,725.1450980392182,398.4313725490209,0.2915100269683891,0.8456880994383305,0.7498915181377644,0.4120283066691013,15.292562724013958,64.21460573476672,0.49284699048323993,0.493864107302865,3.063104736386962e+06,88595.15671164393,0.20452194622298084,0.005915453579288366
KAAF,1107.6392156862782,1347.6941176470634,1087.7176470588272,1327.7725490196124,0.47701947273310863,0.5804022901150144,0.4684399858134484,0.5718228031953542,38.6754601226991,64.39284253578684,0.5232702794819319,0.4952565823108347,6.342320583412329e+06,1.9920691632335251e+06,0.07151926614852133,0.02246359558742259
KHA,1838.7607843137318,619.5607843137276,1321.796078431377,2090.7686274509874,0.5028057928120677,0.16941776984241935,0.3614427340528786,0.5717168792592254,48.233966745842835,73.0134034611467,0.42939969768948033,0.5455560868268688,8.912152725671241e+06,5.607376076093327e+06,0.040891531916173486,0.02572826171628338
LAAN,1443.3176470588285,1151.4666666666706,1147.4823529411804,2216.274509803929,0.3679117122250391,0.2935168663437855,0.2925012370484783,0.564943795514639,54.46054831160147,70.47810096957501,0.4569277633470211,0.5263492497695077,9.499357585614441e+06,6.670364910227449e+06,0.03856798411852384,0.027082097458043068
MIIN,1343.7098039215732,614.5803921568648,863.600000000003,1309.8431372549064,0.5261197352864422,0.24063445268475522,0.33813625685199805,0.5128594899196971,38.2950819672136,72.94141755062617,0.4843517138599169,0.5533955196202013,5.470284212447289e+06,2.102184502732254e+06,0.05239358240549109,0.020134415817889276
NUUN,805.8274509803949,1225.1764705882395,1576.7921568627505,1193.3019607843178,0.2818564011823697,0.42853321811410966,0.5515187677029557,0.41738438642333603,41.5587136929464,70.33858921161831,0.47716133756407525,0.52529234251226,8.297725212906981e+06,2.5225650256561935e+06,0.06342476463119717,0.01928156077888277
O,1820.831372549026,389.46666666666795,1145.4901960784352,2258.1098039215763,0.40266063081579523,0.08612708241191241,0.2533149482703307,0.49936085889464316,66.87881476224067,75.38608942512278,0.487991220461042,0.5635309804933544,8.0983027875701e+06,6.791472151147409e+06,0.024752149069981483,0.020757871803440932
OO,2065.8666666666736,561.7882352941195,2218.266666666674,2491.1921568627536,0.35301891091364895,0.09599935668047156,0.37906128958760665,0.4256992749252826,84.79065978821872,78.14661960358114,0.47880377021839265,0.5844440879059177,9.166511024746252e+06,1.5819995749560677e+07,0.016729210566222483,0.028872058227680082
QAAF,1635.5607843137311,2306.9176470588313,2550.9568627451067,2266.0784313725567,0.36712924451486667,0.517826632336438,0.572605356396208,0.5086595805550072,70.04753240846296,68.95383215829185,0.5191543790109997,0.5148017587749383,1.392683918034302e+07,1.1536765793683225e+07,0.04384697956070247,0.03632212071969805
RA,533.8980392156881,1380.5647058823577,0,1139.5137254902,0.22034586843404377,0.5697749508387774,0,0.47029043561295913,50.82028701891627,50.585453359425756,0.6824696851906338,0.38142656430327504,5.073702902940525e+06,838303.570390003,0.0539907054670155,0.008920625039878238
SA,1244.101960784318,865.5921568627481,1394.5098039215734,1415.427450980397,0.43515283693050644,0.30276046060257017,0.4877613864713443,0.4950778072684145,41.758858068435416,71.94756023486454,0.47951597727571077,0.5374815169307919,7.549771906657262e+06,2.5148348752537956e+06,0.05770768420411531,0.01922247434769158
SHIIN,1370.6039215686321,1373.5921568627498,884.5176470588266,1304.8627450980437,0.4793997627032641,0.48044496567427414,0.309380079418967,0.4564052973410436,43.70866141732359,60.66424389258977,0.5024548402038069,0.4520018476711346,7.488568086073397e+06,2.525669019607858e+06,0.05723986467340543,0.01930528656887335
TA,1480.172549019613,1184.3372549019648,488.07843137255065,2171.450980392164,0.3896216238535438,0.31174973806316525,0.12847550180904202,0.5715848855994115,60.31655753040189,67.50551917679991,0.5157961524382773,0.5115809167446147,6.116035208410978e+06,4.616720320405007e+06,0.026485697045535675,0.019992863282090968
U,138.4549019607847,1401.4823529411813,1265.0196078431416,1464.235294117652,0.05284538242778042,0.5349169286035043,0.48283191139051207,0.5588684328693329,49.011665888942666,69.54456369575391,0.6001458236117834,0.5272658745827223,6.125030694262145e+06,2.4027318425223916e+06,0.05439959173299582,0.02133991449210732
WAW,2682.4392156862837,465.16862745098194,1125.5686274509842,2246.1568627451056,0.5768686485346847,0.1000362639679531,0.24205776934429768,0.4830444866118507,65.39893048128172,70.00213903743197,0.4535135949386037,0.5307856849033229,8.476589570170797e+06,9.901746139993642e+06,0.024154969265183956,0.028216108813957953
XA,2070.8470588235364,1402.4784313725538,1122.5803921568665,2222.2509803921644,0.5099352521111885,0.3453529749747732,0.27642954744074527,0.5472176755459651,56.999561723884575,64.37136596055461,0.45160936874100466,0.4874720458504201,1.041995852895294e+07,8.557412398690337e+06,0.03886005162012634,0.031913897413681114
YA,1608.6666666666722,829.7333333333362,1460.2509803921619,1168.400000000004,0.5626675993937293,0.29021802495044985,0.5107558518335649,0.40867436166491916,36.64163554157666,68.7501474346367,0.4193133593126666,0.5132586926866417,8.088235988615285e+06,2.433730087076241e+06,0.061823505924436736,0.018602539128262645
